time,location,dissolved_oxygen
1964-11-01T00:00:00Z,CalCOFI 93.30,NaN
1964-12-01T00:00:00Z,CalCOFI 93.30,NaN
1965-01-01T00:00:00Z,CalCOFI 93.30,3.165
1965-02-01T00:00:00Z,CalCOFI 93.30,NaN
1965-03-01T00:00:00Z,CalCOFI 93.30,NaN
1965-04-01T00:00:00Z,CalCOFI 93.30,NaN
1965-05-01T00:00:00Z,CalCOFI 93.30,NaN
1965-06-01T00:00:00Z,CalCOFI 93.30,1.44
1965-07-01T00:00:00Z,CalCOFI 93.30,NaN
1965-08-01T00:00:00Z,CalCOFI 93.30,NaN
1965-09-01T00:00:00Z,CalCOFI 93.30,NaN
1965-10-01T00:00:00Z,CalCOFI 93.30,NaN
1965-11-01T00:00:00Z,CalCOFI 93.30,NaN
1965-12-01T00:00:00Z,CalCOFI 93.30,NaN
1966-01-01T00:00:00Z,CalCOFI 93.30,2.71
1966-02-01T00:00:00Z,CalCOFI 93.30,NaN
1966-03-01T00:00:00Z,CalCOFI 93.30,NaN
1966-04-01T00:00:00Z,CalCOFI 93.30,NaN
1966-05-01T00:00:00Z,CalCOFI 93.30,2.56
1966-06-01T00:00:00Z,CalCOFI 93.30,NaN
1966-07-01T00:00:00Z,CalCOFI 93.30,3.37
1966-08-01T00:00:00Z,CalCOFI 93.30,NaN
1966-09-01T00:00:00Z,CalCOFI 93.30,NaN
1966-10-01T00:00:00Z,CalCOFI 93.30,2.85
1966-11-01T00:00:00Z,CalCOFI 93.30,NaN
1966-12-01T00:00:00Z,CalCOFI 93.30,2.8
1967-01-01T00:00:00Z,CalCOFI 93.30,NaN
1967-02-01T00:00:00Z,CalCOFI 93.30,NaN
1967-03-01T00:00:00Z,CalCOFI 93.30,NaN
1967-04-01T00:00:00Z,CalCOFI 93.30,NaN
1967-05-01T00:00:00Z,CalCOFI 93.30,NaN
1967-06-01T00:00:00Z,CalCOFI 93.30,NaN
1967-07-01T00:00:00Z,CalCOFI 93.30,NaN
1967-08-01T00:00:00Z,CalCOFI 93.30,NaN
1967-09-01T00:00:00Z,CalCOFI 93.30,NaN
1967-10-01T00:00:00Z,CalCOFI 93.30,NaN
1967-11-01T00:00:00Z,CalCOFI 93.30,NaN
1967-12-01T00:00:00Z,CalCOFI 93.30,NaN
1968-01-01T00:00:00Z,CalCOFI 93.30,NaN
1968-02-01T00:00:00Z,CalCOFI 93.30,NaN
1968-03-01T00:00:00Z,CalCOFI 93.30,NaN
1968-04-01T00:00:00Z,CalCOFI 93.30,NaN
1968-05-01T00:00:00Z,CalCOFI 93.30,NaN
1968-06-01T00:00:00Z,CalCOFI 93.30,NaN
1968-07-01T00:00:00Z,CalCOFI 93.30,NaN
1968-08-01T00:00:00Z,CalCOFI 93.30,NaN
1968-09-01T00:00:00Z,CalCOFI 93.30,NaN
1968-10-01T00:00:00Z,CalCOFI 93.30,NaN
1968-11-01T00:00:00Z,CalCOFI 93.30,NaN
1968-12-01T00:00:00Z,CalCOFI 93.30,NaN
1969-01-01T00:00:00Z,CalCOFI 93.30,NaN
1969-02-01T00:00:00Z,CalCOFI 93.30,2.8
1969-03-01T00:00:00Z,CalCOFI 93.30,NaN
1969-04-01T00:00:00Z,CalCOFI 93.30,NaN
1969-05-01T00:00:00Z,CalCOFI 93.30,NaN
1969-06-01T00:00:00Z,CalCOFI 93.30,NaN
1969-07-01T00:00:00Z,CalCOFI 93.30,2.8
1969-08-01T00:00:00Z,CalCOFI 93.30,NaN
1969-09-01T00:00:00Z,CalCOFI 93.30,2.31
1969-10-01T00:00:00Z,CalCOFI 93.30,3.1
1969-11-01T00:00:00Z,CalCOFI 93.30,NaN
1969-12-01T00:00:00Z,CalCOFI 93.30,3.44
1970-01-01T00:00:00Z,CalCOFI 93.30,NaN
1970-02-01T00:00:00Z,CalCOFI 93.30,NaN
1970-03-01T00:00:00Z,CalCOFI 93.30,NaN
1970-04-01T00:00:00Z,CalCOFI 93.30,NaN
1970-05-01T00:00:00Z,CalCOFI 93.30,NaN
1970-06-01T00:00:00Z,CalCOFI 93.30,NaN
1970-07-01T00:00:00Z,CalCOFI 93.30,NaN
1970-08-01T00:00:00Z,CalCOFI 93.30,NaN
1970-09-01T00:00:00Z,CalCOFI 93.30,NaN
1970-10-01T00:00:00Z,CalCOFI 93.30,NaN
1970-11-01T00:00:00Z,CalCOFI 93.30,NaN
1970-12-01T00:00:00Z,CalCOFI 93.30,NaN
1971-01-01T00:00:00Z,CalCOFI 93.30,NaN
1971-02-01T00:00:00Z,CalCOFI 93.30,NaN
1971-03-01T00:00:00Z,CalCOFI 93.30,NaN
1971-04-01T00:00:00Z,CalCOFI 93.30,NaN
1971-05-01T00:00:00Z,CalCOFI 93.30,NaN
1971-06-01T00:00:00Z,CalCOFI 93.30,NaN
1971-07-01T00:00:00Z,CalCOFI 93.30,NaN
1971-08-01T00:00:00Z,CalCOFI 93.30,NaN
1971-09-01T00:00:00Z,CalCOFI 93.30,NaN
1971-10-01T00:00:00Z,CalCOFI 93.30,NaN
1971-11-01T00:00:00Z,CalCOFI 93.30,NaN
1971-12-01T00:00:00Z,CalCOFI 93.30,NaN
1972-01-01T00:00:00Z,CalCOFI 93.30,3.1
1972-02-01T00:00:00Z,CalCOFI 93.30,NaN
1972-03-01T00:00:00Z,CalCOFI 93.30,NaN
1972-04-01T00:00:00Z,CalCOFI 93.30,NaN
1972-05-01T00:00:00Z,CalCOFI 93.30,NaN
1972-06-01T00:00:00Z,CalCOFI 93.30,NaN
1972-07-01T00:00:00Z,CalCOFI 93.30,NaN
1972-08-01T00:00:00Z,CalCOFI 93.30,NaN
1972-09-01T00:00:00Z,CalCOFI 93.30,NaN
1972-10-01T00:00:00Z,CalCOFI 93.30,NaN
1972-11-01T00:00:00Z,CalCOFI 93.30,NaN
1972-12-01T00:00:00Z,CalCOFI 93.30,NaN
1973-01-01T00:00:00Z,CalCOFI 93.30,NaN
1973-02-01T00:00:00Z,CalCOFI 93.30,NaN
1973-03-01T00:00:00Z,CalCOFI 93.30,NaN
1973-04-01T00:00:00Z,CalCOFI 93.30,NaN
1973-05-01T00:00:00Z,CalCOFI 93.30,NaN
1973-06-01T00:00:00Z,CalCOFI 93.30,NaN
1973-07-01T00:00:00Z,CalCOFI 93.30,NaN
1973-08-01T00:00:00Z,CalCOFI 93.30,NaN
1973-09-01T00:00:00Z,CalCOFI 93.30,NaN
1973-10-01T00:00:00Z,CalCOFI 93.30,NaN
1973-11-01T00:00:00Z,CalCOFI 93.30,NaN
1973-12-01T00:00:00Z,CalCOFI 93.30,NaN
1974-01-01T00:00:00Z,CalCOFI 93.30,NaN
1974-02-01T00:00:00Z,CalCOFI 93.30,NaN
1974-03-01T00:00:00Z,CalCOFI 93.30,NaN
1974-04-01T00:00:00Z,CalCOFI 93.30,NaN
1974-05-01T00:00:00Z,CalCOFI 93.30,NaN
1974-06-01T00:00:00Z,CalCOFI 93.30,NaN
1974-07-01T00:00:00Z,CalCOFI 93.30,NaN
1974-08-01T00:00:00Z,CalCOFI 93.30,NaN
1974-09-01T00:00:00Z,CalCOFI 93.30,NaN
1974-10-01T00:00:00Z,CalCOFI 93.30,NaN
1974-11-01T00:00:00Z,CalCOFI 93.30,NaN
1974-12-01T00:00:00Z,CalCOFI 93.30,3.22
1975-01-01T00:00:00Z,CalCOFI 93.30,NaN
1975-02-01T00:00:00Z,CalCOFI 93.30,NaN
1975-03-01T00:00:00Z,CalCOFI 93.30,NaN
1975-04-01T00:00:00Z,CalCOFI 93.30,NaN
1975-05-01T00:00:00Z,CalCOFI 93.30,NaN
1975-06-01T00:00:00Z,CalCOFI 93.30,NaN
1975-07-01T00:00:00Z,CalCOFI 93.30,NaN
1975-08-01T00:00:00Z,CalCOFI 93.30,NaN
1975-09-01T00:00:00Z,CalCOFI 93.30,NaN
1975-10-01T00:00:00Z,CalCOFI 93.30,NaN
1975-11-01T00:00:00Z,CalCOFI 93.30,NaN
1975-12-01T00:00:00Z,CalCOFI 93.30,NaN
1976-01-01T00:00:00Z,CalCOFI 93.30,NaN
1976-02-01T00:00:00Z,CalCOFI 93.30,3.29
1976-03-01T00:00:00Z,CalCOFI 93.30,NaN
1976-04-01T00:00:00Z,CalCOFI 93.30,NaN
1976-05-01T00:00:00Z,CalCOFI 93.30,NaN
1976-06-01T00:00:00Z,CalCOFI 93.30,NaN
1976-07-01T00:00:00Z,CalCOFI 93.30,NaN
1976-08-01T00:00:00Z,CalCOFI 93.30,NaN
1976-09-01T00:00:00Z,CalCOFI 93.30,NaN
1976-10-01T00:00:00Z,CalCOFI 93.30,NaN
1976-11-01T00:00:00Z,CalCOFI 93.30,NaN
1976-12-01T00:00:00Z,CalCOFI 93.30,NaN
1977-01-01T00:00:00Z,CalCOFI 93.30,NaN
1977-02-01T00:00:00Z,CalCOFI 93.30,NaN
1977-03-01T00:00:00Z,CalCOFI 93.30,NaN
1977-04-01T00:00:00Z,CalCOFI 93.30,NaN
1977-05-01T00:00:00Z,CalCOFI 93.30,NaN
1977-06-01T00:00:00Z,CalCOFI 93.30,NaN
1977-07-01T00:00:00Z,CalCOFI 93.30,NaN
1977-08-01T00:00:00Z,CalCOFI 93.30,NaN
1977-09-01T00:00:00Z,CalCOFI 93.30,NaN
1977-10-01T00:00:00Z,CalCOFI 93.30,NaN
1977-11-01T00:00:00Z,CalCOFI 93.30,NaN
1977-12-01T00:00:00Z,CalCOFI 93.30,3.65
