time,species_group,relative_stock_status
1927-01-01T00:00:00Z,Petrale sole,0.918703
1928-01-01T00:00:00Z,Petrale sole,0.914114
1929-01-01T00:00:00Z,Petrale sole,0.910124
1930-01-01T00:00:00Z,Petrale sole,0.904837
1931-01-01T00:00:00Z,Petrale sole,0.900912
1932-01-01T00:00:00Z,Petrale sole,0.897096
1933-01-01T00:00:00Z,Petrale sole,0.8912
1934-01-01T00:00:00Z,Petrale sole,0.885246
1935-01-01T00:00:00Z,Petrale sole,0.865273
1936-01-01T00:00:00Z,Petrale sole,0.846913
1937-01-01T00:00:00Z,Petrale sole,0.835434
1938-01-01T00:00:00Z,Petrale sole,0.81439
1939-01-01T00:00:00Z,Petrale sole,0.790184
1940-01-01T00:00:00Z,Petrale sole,0.758943
1941-01-01T00:00:00Z,Petrale sole,0.732566
1942-01-01T00:00:00Z,Petrale sole,0.714123
1943-01-01T00:00:00Z,Petrale sole,0.681554
1944-01-01T00:00:00Z,Petrale sole,0.650736
1945-01-01T00:00:00Z,Petrale sole,0.636641
1946-01-01T00:00:00Z,Petrale sole,0.627308
1947-01-01T00:00:00Z,Petrale sole,0.594123
1948-01-01T00:00:00Z,Petrale sole,0.572474
1949-01-01T00:00:00Z,Petrale sole,0.524504
1950-01-01T00:00:00Z,Petrale sole,0.478459
1951-01-01T00:00:00Z,Petrale sole,0.428154
1952-01-01T00:00:00Z,Petrale sole,0.406883
1953-01-01T00:00:00Z,Petrale sole,0.389093
1954-01-01T00:00:00Z,Petrale sole,0.377196
